prompt,image_path
Angiogram image of the no specific thyroid showing signs of fluid accumulation.,images/angiogram_thyroid_fluid accumulation_64.jpg
X-ray image of the central pancreas showing signs of infection.,images/x-ray_pancreas_infection_65.jpg
CT scan image of the central heart showing signs of degeneration.,images/ct_scan_heart_degeneration_66.jpg
X-ray image of the lower bladder showing signs of calcification.,images/x-ray_bladder_calcification_67.jpg
Mammogram image of the right abdomen showing signs of blockage.,images/mammogram_abdomen_blockage_68.jpg
CT scan image of the right brain showing signs of calcification.,images/ct_scan_brain_calcification_69.jpg
Endoscopy image of the anterior spine showing signs of atrophy.,images/endoscopy_spine_atrophy_70.jpg
Endoscopy image of the no specific brain showing signs of hernia.,images/endoscopy_brain_hernia_71.jpg
Mammogram image of the left breast showing signs of cyst.,images/mammogram_breast_cyst_72.jpg
PET scan image of the upper eye showing signs of fracture.,images/pet_scan_eye_fracture_73.jpg
Angiogram image of the posterior brain showing signs of inflammation.,images/angiogram_brain_inflammation_74.jpg
Endoscopy image of the bilateral heart showing signs of fracture.,images/endoscopy_heart_fracture_75.jpg
Ultrasound image of the right breast showing signs of atrophy.,images/ultrasound_breast_atrophy_76.jpg
Ultrasound image of the no specific liver showing signs of tumor.,images/ultrasound_liver_tumor_77.jpg
Ultrasound image of the anterior bladder showing signs of blockage.,images/ultrasound_bladder_blockage_78.jpg
MRI image of the anterior thyroid showing signs of blockage.,images/mri_thyroid_blockage_79.jpg
Endoscopy image of the no specific knee showing signs of abnormal growth.,images/endoscopy_knee_abnormal growth_80.jpg
CT scan image of the posterior abdomen showing signs of calcification.,images/ct_scan_abdomen_calcification_81.jpg
MRI image of the no specific heart showing signs of mass.,images/mri_heart_mass_82.jpg
Ultrasound image of the lower liver showing signs of scar tissue.,images/ultrasound_liver_scar tissue_83.jpg
Ultrasound image of the bilateral pancreas showing signs of atrophy.,images/ultrasound_pancreas_atrophy_84.jpg
Endoscopy image of the posterior pancreas showing signs of mass.,images/endoscopy_pancreas_mass_85.jpg
Ultrasound image of the posterior pancreas showing signs of lesion.,images/ultrasound_pancreas_lesion_86.jpg
PET scan image of the bilateral lung showing signs of cyst.,images/pet_scan_lung_cyst_87.jpg
Angiogram image of the lower lung showing signs of blockage.,images/angiogram_lung_blockage_88.jpg
X-ray image of the right bladder showing signs of calcification.,images/x-ray_bladder_calcification_89.jpg
Ultrasound image of the no specific thyroid showing signs of infection.,images/ultrasound_thyroid_infection_90.jpg
Endoscopy image of the bilateral bladder showing signs of scar tissue.,images/endoscopy_bladder_scar tissue_91.jpg
Endoscopy image of the bilateral brain showing signs of infection.,images/endoscopy_brain_infection_92.jpg
Endoscopy image of the no specific abdomen showing signs of hernia.,images/endoscopy_abdomen_hernia_93.jpg
Ultrasound image of the left eye showing signs of calcification.,images/ultrasound_eye_calcification_94.jpg
Mammogram image of the no specific bladder showing signs of blockage.,images/mammogram_bladder_blockage_95.jpg
CT scan image of the upper brain showing signs of scar tissue.,images/ct_scan_brain_scar tissue_96.jpg
Mammogram image of the no specific pancreas showing signs of fracture.,images/mammogram_pancreas_fracture_97.jpg
CT scan image of the right heart showing signs of swelling.,images/ct_scan_heart_swelling_98.jpg
X-ray image of the lower heart showing signs of infection.,images/x-ray_heart_infection_99.jpg
MRI image of the left eye showing signs of swelling.,images/mri_eye_swelling_100.jpg
MRI image of the right breast showing signs of blockage.,images/mri_breast_blockage_101.jpg
X-ray image of the right breast showing signs of atrophy.,images/x-ray_breast_atrophy_102.jpg
Endoscopy image of the right heart showing signs of swelling.,images/endoscopy_heart_swelling_103.jpg
X-ray image of the upper eye showing signs of cyst.,images/x-ray_eye_cyst_104.jpg
MRI image of the posterior lung showing signs of atrophy.,images/mri_lung_atrophy_105.jpg
PET scan image of the posterior liver showing signs of lesion.,images/pet_scan_liver_lesion_106.jpg
PET scan image of the anterior pancreas showing signs of lesion.,images/pet_scan_pancreas_lesion_107.jpg
Mammogram image of the no specific knee showing signs of blockage.,images/mammogram_knee_blockage_108.jpg
MRI image of the anterior heart showing signs of tumor.,images/mri_heart_tumor_109.jpg
PET scan image of the central knee showing signs of atrophy.,images/pet_scan_knee_atrophy_110.jpg
X-ray image of the no specific heart showing signs of infection.,images/x-ray_heart_infection_111.jpg
Mammogram image of the lower breast showing signs of fracture.,images/mammogram_breast_fracture_112.jpg
Angiogram image of the lower bladder showing signs of cyst.,images/angiogram_bladder_cyst_113.jpg
Endoscopy image of the anterior knee showing signs of cyst.,images/endoscopy_knee_cyst_114.jpg
Mammogram image of the central breast showing signs of infection.,images/mammogram_breast_infection_115.jpg
Endoscopy image of the upper thyroid showing signs of infection.,images/endoscopy_thyroid_infection_116.jpg
Mammogram image of the central eye showing signs of fluid accumulation.,images/mammogram_eye_fluid accumulation_117.jpg
Endoscopy image of the upper liver showing signs of mass.,images/endoscopy_liver_mass_118.jpg
PET scan image of the central liver showing signs of inflammation.,images/pet_scan_liver_inflammation_119.jpg
Endoscopy image of the lower knee showing signs of infection.,images/endoscopy_knee_infection_120.jpg
Ultrasound image of the lower spine showing signs of degeneration.,images/ultrasound_spine_degeneration_121.jpg
PET scan image of the upper breast showing signs of atrophy.,images/pet_scan_breast_atrophy_122.jpg
X-ray image of the upper spine showing signs of hernia.,images/x-ray_spine_hernia_123.jpg
CT scan image of the right lung showing signs of swelling.,images/ct_scan_lung_swelling_124.jpg
X-ray image of the right eye showing signs of atrophy.,images/x-ray_eye_atrophy_125.jpg
MRI image of the no specific bladder showing signs of cyst.,images/mri_bladder_cyst_126.jpg
Ultrasound image of the anterior spine showing signs of tumor.,images/ultrasound_spine_tumor_127.jpg
Angiogram image of the no specific heart showing signs of tumor.,images/angiogram_heart_tumor_128.jpg
MRI image of the posterior lung showing signs of swelling.,images/mri_lung_swelling_129.jpg
Ultrasound image of the posterior knee showing signs of hernia.,images/ultrasound_knee_hernia_130.jpg
MRI image of the anterior knee showing signs of blockage.,images/mri_knee_blockage_131.jpg
CT scan image of the lower bladder showing signs of scar tissue.,images/ct_scan_bladder_scar tissue_132.jpg
Endoscopy image of the right breast showing signs of cyst.,images/endoscopy_breast_cyst_133.jpg
Mammogram image of the anterior knee showing signs of swelling.,images/mammogram_knee_swelling_134.jpg
Endoscopy image of the lower lung showing signs of calcification.,images/endoscopy_lung_calcification_135.jpg
Ultrasound image of the right brain showing signs of tumor.,images/ultrasound_brain_tumor_136.jpg
Mammogram image of the central abdomen showing signs of inflammation.,images/mammogram_abdomen_inflammation_137.jpg
Ultrasound image of the bilateral bladder showing signs of swelling.,images/ultrasound_bladder_swelling_138.jpg
Endoscopy image of the left eye showing signs of hernia.,images/endoscopy_eye_hernia_139.jpg
Ultrasound image of the no specific pancreas showing signs of scar tissue.,images/ultrasound_pancreas_scar tissue_140.jpg
Ultrasound image of the posterior brain showing signs of cyst.,images/ultrasound_brain_cyst_141.jpg
Endoscopy image of the left spine showing signs of tumor.,images/endoscopy_spine_tumor_142.jpg
Mammogram image of the bilateral liver showing signs of swelling.,images/mammogram_liver_swelling_143.jpg
Ultrasound image of the lower liver showing signs of lesion.,images/ultrasound_liver_lesion_144.jpg
CT scan image of the left brain showing signs of atrophy.,images/ct_scan_brain_atrophy_145.jpg
PET scan image of the lower heart showing signs of tumor.,images/pet_scan_heart_tumor_146.jpg
Angiogram image of the posterior pancreas showing signs of tumor.,images/angiogram_pancreas_tumor_147.jpg
Angiogram image of the right knee showing signs of tumor.,images/angiogram_knee_tumor_148.jpg
Ultrasound image of the posterior breast showing signs of inflammation.,images/ultrasound_breast_inflammation_149.jpg
CT scan image of the left lung showing signs of swelling.,images/ct_scan_lung_swelling_150.jpg
CT scan image of the no specific breast showing signs of scar tissue.,images/ct_scan_breast_scar tissue_151.jpg
CT scan image of the lower spine showing signs of inflammation.,images/ct_scan_spine_inflammation_152.jpg
Ultrasound image of the upper spine showing signs of mass.,images/ultrasound_spine_mass_153.jpg
CT scan image of the lower thyroid showing signs of lesion.,images/ct_scan_thyroid_lesion_154.jpg
Endoscopy image of the bilateral lung showing signs of fracture.,images/endoscopy_lung_fracture_155.jpg
PET scan image of the upper lung showing signs of fracture.,images/pet_scan_lung_fracture_156.jpg
Angiogram image of the no specific abdomen showing signs of degeneration.,images/angiogram_abdomen_degeneration_157.jpg
Ultrasound image of the bilateral lung showing signs of swelling.,images/ultrasound_lung_swelling_158.jpg
Ultrasound image of the posterior eye showing signs of infection.,images/ultrasound_eye_infection_159.jpg
CT scan image of the anterior knee showing signs of abnormal growth.,images/ct_scan_knee_abnormal growth_160.jpg
PET scan image of the lower thyroid showing signs of blockage.,images/pet_scan_thyroid_blockage_161.jpg
CT scan image of the central bladder showing signs of degeneration.,images/ct_scan_bladder_degeneration_162.jpg
Ultrasound image of the central abdomen showing signs of fluid accumulation.,images/ultrasound_abdomen_fluid accumulation_163.jpg
X-ray image of the anterior brain showing signs of blockage.,images/x-ray_brain_blockage_164.jpg
PET scan image of the no specific eye showing signs of scar tissue.,images/pet_scan_eye_scar tissue_165.jpg
Angiogram image of the no specific bladder showing signs of degeneration.,images/angiogram_bladder_degeneration_166.jpg
Ultrasound image of the bilateral breast showing signs of degeneration.,images/ultrasound_breast_degeneration_167.jpg
Mammogram image of the left lung showing signs of swelling.,images/mammogram_lung_swelling_168.jpg
MRI image of the central eye showing signs of hernia.,images/mri_eye_hernia_169.jpg
Ultrasound image of the central abdomen showing signs of abnormal growth.,images/ultrasound_abdomen_abnormal growth_170.jpg
PET scan image of the left lung showing signs of hernia.,images/pet_scan_lung_hernia_171.jpg
CT scan image of the lower eye showing signs of blockage.,images/ct_scan_eye_blockage_172.jpg
PET scan image of the left lung showing signs of atrophy.,images/pet_scan_lung_atrophy_173.jpg
Ultrasound image of the no specific eye showing signs of lesion.,images/ultrasound_eye_lesion_174.jpg
X-ray image of the upper breast showing signs of calcification.,images/x-ray_breast_calcification_175.jpg
Endoscopy image of the upper brain showing signs of hernia.,images/endoscopy_brain_hernia_176.jpg
Ultrasound image of the anterior bladder showing signs of abnormal growth.,images/ultrasound_bladder_abnormal growth_177.jpg
Ultrasound image of the central thyroid showing signs of inflammation.,images/ultrasound_thyroid_inflammation_178.jpg
MRI image of the central thyroid showing signs of abnormal growth.,images/mri_thyroid_abnormal growth_179.jpg
X-ray image of the upper abdomen showing signs of atrophy.,images/x-ray_abdomen_atrophy_180.jpg
PET scan image of the lower lung showing signs of fracture.,images/pet_scan_lung_fracture_181.jpg
PET scan image of the left spine showing signs of blockage.,images/pet_scan_spine_blockage_182.jpg
CT scan image of the lower heart showing signs of mass.,images/ct_scan_heart_mass_183.jpg
MRI image of the posterior bladder showing signs of tumor.,images/mri_bladder_tumor_184.jpg
PET scan image of the no specific pancreas showing signs of hernia.,images/pet_scan_pancreas_hernia_185.jpg
X-ray image of the right heart showing signs of cyst.,images/x-ray_heart_cyst_186.jpg
PET scan image of the bilateral pancreas showing signs of inflammation.,images/pet_scan_pancreas_inflammation_187.jpg
CT scan image of the anterior breast showing signs of abnormal growth.,images/ct_scan_breast_abnormal growth_188.jpg
Ultrasound image of the upper abdomen showing signs of infection.,images/ultrasound_abdomen_infection_189.jpg
X-ray image of the anterior pancreas showing signs of abnormal growth.,images/x-ray_pancreas_abnormal growth_190.jpg
Mammogram image of the anterior brain showing signs of scar tissue.,images/mammogram_brain_scar tissue_191.jpg
Ultrasound image of the anterior abdomen showing signs of mass.,images/ultrasound_abdomen_mass_192.jpg
Ultrasound image of the bilateral spine showing signs of cyst.,images/ultrasound_spine_cyst_193.jpg
MRI image of the anterior liver showing signs of fluid accumulation.,images/mri_liver_fluid accumulation_194.jpg
PET scan image of the upper eye showing signs of scar tissue.,images/pet_scan_eye_scar tissue_195.jpg
Ultrasound image of the left spine showing signs of lesion.,images/ultrasound_spine_lesion_196.jpg
CT scan image of the upper pancreas showing signs of fracture.,images/ct_scan_pancreas_fracture_197.jpg
X-ray image of the bilateral pancreas showing signs of inflammation.,images/x-ray_pancreas_inflammation_198.jpg
Mammogram image of the posterior spine showing signs of fracture.,images/mammogram_spine_fracture_199.jpg
Mammogram image of the posterior brain showing signs of fluid accumulation.,images/mammogram_brain_fluid accumulation_200.jpg
PET scan image of the lower heart showing signs of blockage.,images/pet_scan_heart_blockage_201.jpg
Angiogram image of the central lung showing signs of hernia.,images/angiogram_lung_hernia_202.jpg
Endoscopy image of the right abdomen showing signs of swelling.,images/endoscopy_abdomen_swelling_203.jpg
CT scan image of the central brain showing signs of tumor.,images/ct_scan_brain_tumor_204.jpg
Ultrasound image of the upper brain showing signs of fracture.,images/ultrasound_brain_fracture_205.jpg
Mammogram image of the no specific knee showing signs of infection.,images/mammogram_knee_infection_206.jpg
X-ray image of the bilateral abdomen showing signs of calcification.,images/x-ray_abdomen_calcification_207.jpg
Ultrasound image of the bilateral lung showing signs of hernia.,images/ultrasound_lung_hernia_208.jpg
Angiogram image of the bilateral eye showing signs of abnormal growth.,images/angiogram_eye_abnormal growth_209.jpg
X-ray image of the no specific lung showing signs of scar tissue.,images/x-ray_lung_scar tissue_210.jpg
CT scan image of the upper abdomen showing signs of fracture.,images/ct_scan_abdomen_fracture_211.jpg
Mammogram image of the upper abdomen showing signs of infection.,images/mammogram_abdomen_infection_212.jpg
Angiogram image of the posterior lung showing signs of infection.,images/angiogram_lung_infection_213.jpg
Angiogram image of the bilateral lung showing signs of calcification.,images/angiogram_lung_calcification_214.jpg
Ultrasound image of the upper breast showing signs of inflammation.,images/ultrasound_breast_inflammation_215.jpg
Ultrasound image of the lower liver showing signs of inflammation.,images/ultrasound_liver_inflammation_216.jpg
Angiogram image of the left bladder showing signs of fracture.,images/angiogram_bladder_fracture_217.jpg
Mammogram image of the central brain showing signs of abnormal growth.,images/mammogram_brain_abnormal growth_218.jpg
MRI image of the left abdomen showing signs of fluid accumulation.,images/mri_abdomen_fluid accumulation_219.jpg
MRI image of the bilateral lung showing signs of blockage.,images/mri_lung_blockage_220.jpg
Endoscopy image of the left pancreas showing signs of mass.,images/endoscopy_pancreas_mass_221.jpg
MRI image of the central spine showing signs of calcification.,images/mri_spine_calcification_222.jpg
MRI image of the right brain showing signs of fluid accumulation.,images/mri_brain_fluid accumulation_223.jpg
Mammogram image of the anterior liver showing signs of fracture.,images/mammogram_liver_fracture_224.jpg
Mammogram image of the lower eye showing signs of fracture.,images/mammogram_eye_fracture_225.jpg
Endoscopy image of the central breast showing signs of inflammation.,images/endoscopy_breast_inflammation_226.jpg
PET scan image of the lower pancreas showing signs of lesion.,images/pet_scan_pancreas_lesion_227.jpg
CT scan image of the lower lung showing signs of fluid accumulation.,images/ct_scan_lung_fluid accumulation_228.jpg
CT scan image of the right heart showing signs of atrophy.,images/ct_scan_heart_atrophy_229.jpg
Endoscopy image of the left eye showing signs of lesion.,images/endoscopy_eye_lesion_230.jpg
MRI image of the posterior pancreas showing signs of inflammation.,images/mri_pancreas_inflammation_231.jpg
CT scan image of the posterior liver showing signs of lesion.,images/ct_scan_liver_lesion_232.jpg
Ultrasound image of the anterior eye showing signs of fluid accumulation.,images/ultrasound_eye_fluid accumulation_233.jpg
MRI image of the lower lung showing signs of atrophy.,images/mri_lung_atrophy_234.jpg
Endoscopy image of the bilateral eye showing signs of tumor.,images/endoscopy_eye_tumor_235.jpg
X-ray image of the anterior knee showing signs of calcification.,images/x-ray_knee_calcification_236.jpg
X-ray image of the no specific eye showing signs of fluid accumulation.,images/x-ray_eye_fluid accumulation_237.jpg
Angiogram image of the central liver showing signs of cyst.,images/angiogram_liver_cyst_238.jpg
MRI image of the left pancreas showing signs of lesion.,images/mri_pancreas_lesion_239.jpg
Mammogram image of the left breast showing signs of lesion.,images/mammogram_breast_lesion_240.jpg
Angiogram image of the posterior breast showing signs of lesion.,images/angiogram_breast_lesion_241.jpg
Mammogram image of the no specific lung showing signs of atrophy.,images/mammogram_lung_atrophy_242.jpg
CT scan image of the lower spine showing signs of fracture.,images/ct_scan_spine_fracture_243.jpg
Angiogram image of the upper brain showing signs of abnormal growth.,images/angiogram_brain_abnormal growth_244.jpg
Mammogram image of the central thyroid showing signs of calcification.,images/mammogram_thyroid_calcification_245.jpg
MRI image of the posterior eye showing signs of inflammation.,images/mri_eye_inflammation_246.jpg
Endoscopy image of the upper spine showing signs of atrophy.,images/endoscopy_spine_atrophy_247.jpg
PET scan image of the central pancreas showing signs of degeneration.,images/pet_scan_pancreas_degeneration_248.jpg
CT scan image of the no specific liver showing signs of blockage.,images/ct_scan_liver_blockage_249.jpg
PET scan image of the posterior brain showing signs of tumor.,images/pet_scan_brain_tumor_250.jpg
Endoscopy image of the anterior knee showing signs of degeneration.,images/endoscopy_knee_degeneration_251.jpg
Ultrasound image of the no specific abdomen showing signs of degeneration.,images/ultrasound_abdomen_degeneration_252.jpg
Endoscopy image of the left breast showing signs of inflammation.,images/endoscopy_breast_inflammation_253.jpg
CT scan image of the left liver showing signs of scar tissue.,images/ct_scan_liver_scar tissue_254.jpg
Mammogram image of the lower eye showing signs of blockage.,images/mammogram_eye_blockage_255.jpg
PET scan image of the upper heart showing signs of calcification.,images/pet_scan_heart_calcification_256.jpg
CT scan image of the anterior heart showing signs of tumor.,images/ct_scan_heart_tumor_257.jpg
Endoscopy image of the no specific lung showing signs of fluid accumulation.,images/endoscopy_lung_fluid accumulation_258.jpg
PET scan image of the bilateral knee showing signs of swelling.,images/pet_scan_knee_swelling_259.jpg
X-ray image of the posterior knee showing signs of hernia.,images/x-ray_knee_hernia_260.jpg
MRI image of the anterior abdomen showing signs of fluid accumulation.,images/mri_abdomen_fluid accumulation_261.jpg
Ultrasound image of the central thyroid showing signs of swelling.,images/ultrasound_thyroid_swelling_262.jpg
Mammogram image of the right eye showing signs of scar tissue.,images/mammogram_eye_scar tissue_263.jpg
MRI image of the upper heart showing signs of blockage.,images/mri_heart_blockage_264.jpg
Mammogram image of the left lung showing signs of swelling.,images/mammogram_lung_swelling_265.jpg
Angiogram image of the posterior bladder showing signs of mass.,images/angiogram_bladder_mass_266.jpg
X-ray image of the upper knee showing signs of tumor.,images/x-ray_knee_tumor_267.jpg
Mammogram image of the bilateral heart showing signs of blockage.,images/mammogram_heart_blockage_268.jpg
Angiogram image of the bilateral brain showing signs of tumor.,images/angiogram_brain_tumor_269.jpg
CT scan image of the left breast showing signs of calcification.,images/ct_scan_breast_calcification_270.jpg
MRI image of the upper brain showing signs of calcification.,images/mri_brain_calcification_271.jpg
Mammogram image of the no specific eye showing signs of atrophy.,images/mammogram_eye_atrophy_272.jpg
Endoscopy image of the no specific pancreas showing signs of lesion.,images/endoscopy_pancreas_lesion_273.jpg
MRI image of the posterior liver showing signs of tumor.,images/mri_liver_tumor_274.jpg
Endoscopy image of the left thyroid showing signs of blockage.,images/endoscopy_thyroid_blockage_275.jpg
Endoscopy image of the central liver showing signs of swelling.,images/endoscopy_liver_swelling_276.jpg
MRI image of the lower thyroid showing signs of tumor.,images/mri_thyroid_tumor_277.jpg
Ultrasound image of the left pancreas showing signs of tumor.,images/ultrasound_pancreas_tumor_278.jpg
Endoscopy image of the bilateral liver showing signs of abnormal growth.,images/endoscopy_liver_abnormal growth_279.jpg
PET scan image of the anterior liver showing signs of mass.,images/pet_scan_liver_mass_280.jpg
Ultrasound image of the central thyroid showing signs of tumor.,images/ultrasound_thyroid_tumor_281.jpg
PET scan image of the lower heart showing signs of inflammation.,images/pet_scan_heart_inflammation_282.jpg
MRI image of the left pancreas showing signs of fracture.,images/mri_pancreas_fracture_283.jpg
Endoscopy image of the lower eye showing signs of tumor.,images/endoscopy_eye_tumor_284.jpg
MRI image of the upper pancreas showing signs of hernia.,images/mri_pancreas_hernia_285.jpg
Angiogram image of the right thyroid showing signs of blockage.,images/angiogram_thyroid_blockage_286.jpg
Angiogram image of the right liver showing signs of swelling.,images/angiogram_liver_swelling_287.jpg
Endoscopy image of the no specific thyroid showing signs of lesion.,images/endoscopy_thyroid_lesion_288.jpg
MRI image of the posterior brain showing signs of abnormal growth.,images/mri_brain_abnormal growth_289.jpg
MRI image of the bilateral breast showing signs of mass.,images/mri_breast_mass_290.jpg
MRI image of the anterior eye showing signs of lesion.,images/mri_eye_lesion_291.jpg
PET scan image of the lower bladder showing signs of mass.,images/pet_scan_bladder_mass_292.jpg
MRI image of the right liver showing signs of scar tissue.,images/mri_liver_scar tissue_293.jpg
PET scan image of the left breast showing signs of atrophy.,images/pet_scan_breast_atrophy_294.jpg
Endoscopy image of the lower pancreas showing signs of inflammation.,images/endoscopy_pancreas_inflammation_295.jpg
Endoscopy image of the left liver showing signs of tumor.,images/endoscopy_liver_tumor_296.jpg
Angiogram image of the central eye showing signs of swelling.,images/angiogram_eye_swelling_297.jpg
PET scan image of the upper spine showing signs of scar tissue.,images/pet_scan_spine_scar tissue_298.jpg
Angiogram image of the upper thyroid showing signs of scar tissue.,images/angiogram_thyroid_scar tissue_299.jpg
PET scan image of the central pancreas showing signs of scar tissue.,images/pet_scan_pancreas_scar tissue_300.jpg
CT scan image of the posterior bladder showing signs of blockage.,images/ct_scan_bladder_blockage_301.jpg
PET scan image of the central knee showing signs of inflammation.,images/pet_scan_knee_inflammation_302.jpg
PET scan image of the anterior lung showing signs of mass.,images/pet_scan_lung_mass_303.jpg
Angiogram image of the anterior eye showing signs of abnormal growth.,images/angiogram_eye_abnormal growth_304.jpg
PET scan image of the no specific breast showing signs of fracture.,images/pet_scan_breast_fracture_305.jpg
MRI image of the upper knee showing signs of swelling.,images/mri_knee_swelling_306.jpg
X-ray image of the right lung showing signs of fracture.,images/x-ray_lung_fracture_307.jpg
CT scan image of the upper brain showing signs of hernia.,images/ct_scan_brain_hernia_308.jpg
CT scan image of the no specific knee showing signs of infection.,images/ct_scan_knee_infection_309.jpg
Ultrasound image of the upper abdomen showing signs of inflammation.,images/ultrasound_abdomen_inflammation_310.jpg
Mammogram image of the no specific spine showing signs of abnormal growth.,images/mammogram_spine_abnormal growth_311.jpg
Angiogram image of the upper knee showing signs of lesion.,images/angiogram_knee_lesion_312.jpg
